Welcome to Yade 2020.01a 
Using python version: 3.8.10 (default, Mar 13 2023, 10:26:41) 
[GCC 9.4.0]
Warning: no X rendering available (see https://bbs.archlinux.org/viewtopic.php?id=13189)
XMLRPC info provider on http://localhost:21004
nbSpheres= 9976.0  | Rmean= 0.031127148105453077  | Rmax/Rmin= 1.9973438683632665
K= 12.75541299117883
ISOTROPIC CONFINEMENT!
unbalanced force: 1.43216214541234  mean stress:  17.202538892265697
unbalanced force: 2.384549567196008  mean stress:  206.91636150604964
unbalanced force: 1.5881614375113147  mean stress:  6.708843042252302
unbalanced force: 1.9398910655685246  mean stress:  6.6958756414523295
unbalanced force: 2.2069022096778217  mean stress:  206.92009722494745
unbalanced force: 1.5332059032208005  mean stress:  6.716006545020399
unbalanced force: 1.8982288023327643  mean stress:  6.6822199296361715
unbalanced force: 2.19506219357408  mean stress:  207.53992748675014
unbalanced force: 1.5282037291994257  mean stress:  6.710257235601392
unbalanced force: 1.886582863852582  mean stress:  6.675933100163552
unbalanced force: 2.1823064920851913  mean stress:  206.81205173838654
unbalanced force: 1.5208085224685406  mean stress:  6.7051364210583415
unbalanced force: 1.8989463199300598  mean stress:  6.672481412050057
unbalanced force: 2.1739594509464784  mean stress:  207.12740878659073
unbalanced force: 1.5241724095389992  mean stress:  6.699616985575649
unbalanced force: 1.8911565963385863  mean stress:  6.660327542919121
unbalanced force: 2.184366826683925  mean stress:  207.02664576835525
unbalanced force: 1.5230938584191631  mean stress:  6.705872223526224
unbalanced force: 1.87339299728655  mean stress:  6.6818126181149395
unbalanced force: 2.1885760305034414  mean stress:  207.21676940876782
unbalanced force: 1.5126355928398092  mean stress:  6.7232098515052146
unbalanced force: 1.8833956255386652  mean stress:  6.68269799364479
unbalanced force: 2.1657856490882015  mean stress:  206.93056703603006
unbalanced force: 1.5175336200666028  mean stress:  6.70767285076424
unbalanced force: 1.9070010518847844  mean stress:  6.695730990197222
unbalanced force: 2.187000546364257  mean stress:  207.3107814989387
unbalanced force: 1.510929053924744  mean stress:  6.686318011727721
unbalanced force: 1.886771248072805  mean stress:  6.7043469524474375
unbalanced force: 2.1778083472378773  mean stress:  207.37090654984488
unbalanced force: 1.526398912670686  mean stress:  6.70373141491972
unbalanced force: 1.8849758137566637  mean stress:  6.690626042196976
unbalanced force: 2.1719234560629928  mean stress:  207.2590622387036
unbalanced force: 1.5178916920054386  mean stress:  6.700765642901601
unbalanced force: 1.8854556205914108  mean stress:  6.703197080749572
unbalanced force: 2.1858117455470922  mean stress:  207.27700282041872
unbalanced force: 1.5134284605715043  mean stress:  6.713200722286342
unbalanced force: 1.8904507273002322  mean stress:  6.705616209152711
unbalanced force: 2.180066890820562  mean stress:  207.25248377119502
unbalanced force: 1.5228429327195365  mean stress:  6.6895844129353605
unbalanced force: 1.88256848088419  mean stress:  6.690987476569563
unbalanced force: 2.1750830537065724  mean stress:  207.1707080333767
unbalanced force: 1.5142424915883261  mean stress:  6.709998169265724
unbalanced force: 1.8947390675662434  mean stress:  6.691633620104798
unbalanced force: 2.167471031648007  mean stress:  207.03292632052168
unbalanced force: 1.5146632034916936  mean stress:  6.705318912138981
unbalanced force: 1.887633348361717  mean stress:  6.695503981925715
unbalanced force: 2.184494030365844  mean stress:  207.22344301023261
unbalanced force: 1.5233935259566769  mean stress:  6.701135330368377
unbalanced force: 1.8944687735372614  mean stress:  6.693733013161501
unbalanced force: 2.1759573870209308  mean stress:  207.1208553820367
unbalanced force: 1.5380239448425854  mean stress:  6.702181468555111
unbalanced force: 1.9101017826861144  mean stress:  6.6795028323025525
unbalanced force: 2.175166324752098  mean stress:  207.07684600355944
unbalanced force: 1.5309991480735468  mean stress:  6.713924210113535
unbalanced force: 1.9101271442951424  mean stress:  6.693256067232404
unbalanced force: 2.1781048745522154  mean stress:  207.16596211866172
unbalanced force: 1.5236758282547243  mean stress:  6.706972509320025
unbalanced force: 1.9189648549595821  mean stress:  6.71592266212468
unbalanced force: 2.1773344963290904  mean stress:  207.3176733655305
unbalanced force: 1.536576798496697  mean stress:  6.722450034707836
unbalanced force: 1.9088068688672404  mean stress:  6.695503734607443
unbalanced force: 2.169498623921908  mean stress:  207.32326879799925
unbalanced force: 1.5307832144915594  mean stress:  6.7005241973119185
unbalanced force: 1.8992162857050585  mean stress:  6.706888058590025
unbalanced force: 2.174871629800709  mean stress:  207.1707396617451
unbalanced force: 1.5351854746928473  mean stress:  6.705160596467331
unbalanced force: 1.9057225006796863  mean stress:  6.671836549007239
unbalanced force: 2.178823478528773  mean stress:  207.0302589874331
unbalanced force: 1.5422324879329168  mean stress:  6.6927030605428115
unbalanced force: 1.89800210003496  mean stress:  6.694059853150507
unbalanced force: 2.1770979996560023  mean stress:  207.09068648461684
unbalanced force: 1.519392870983133  mean stress:  6.702735926658249
unbalanced force: 1.9121877528960267  mean stress:  6.6960730705322105
unbalanced force: 2.180100445031536  mean stress:  207.1339224558195
unbalanced force: 1.530083344032207  mean stress:  6.695712014301965
unbalanced force: 1.907891043943897  mean stress:  6.680522181225123
unbalanced force: 2.182985387980045  mean stress:  203.28052365628426
unbalanced force: 1.5400990506225303  mean stress:  6.69451579077223
unbalanced force: 1.9131279136244044  mean stress:  6.687274462697652
unbalanced force: 2.186969189380967  mean stress:  203.2306558288321
unbalanced force: 1.5403603351079032  mean stress:  6.715596200668522
unbalanced force: 1.910371598235182  mean stress:  6.69405283132788
unbalanced force: 2.194183716962201  mean stress:  202.9001316766198
unbalanced force: 1.525985472636735  mean stress:  6.70171122142684
unbalanced force: 1.9081874627623858  mean stress:  6.69722696091213
unbalanced force: 2.189086115112497  mean stress:  202.99482554013494
unbalanced force: 1.543691848399801  mean stress:  6.707100534795795
unbalanced force: 1.919945768358789  mean stress:  6.6931086131732345
unbalanced force: 2.1861404512762674  mean stress:  202.99095897301547
unbalanced force: 1.5338176579844844  mean stress:  6.715350048471859
unbalanced force: 1.90844360105387  mean stress:  6.700834590668631
unbalanced force: 2.1855215092946514  mean stress:  203.10802657300576
unbalanced force: 1.5321066342238876  mean stress:  6.702762662924346
unbalanced force: 1.9108416515004085  mean stress:  6.697350638306349
unbalanced force: 2.1817472120614347  mean stress:  202.8729481353439
unbalanced force: 1.533025832227488  mean stress:  6.695940089813675
unbalanced force: 1.9102741565080523  mean stress:  6.691913969453258
unbalanced force: 2.186756311997427  mean stress:  202.97973917624105
unbalanced force: 1.5283034746334592  mean stress:  6.697987759342953
unbalanced force: 1.9171740959009982  mean stress:  6.689887087869724
unbalanced force: 2.1822411705898213  mean stress:  202.9624823230786
unbalanced force: 1.540979485683323  mean stress:  6.698528323785872
unbalanced force: 1.910125791069715  mean stress:  6.690486762570001
unbalanced force: 2.1828412110159765  mean stress:  202.95797698840906
unbalanced force: 1.519484272589477  mean stress:  6.702057064168741
unbalanced force: 1.912333845578811  mean stress:  6.682467518560234
unbalanced force: 2.1877113429434294  mean stress:  203.06790510615156
unbalanced force: 1.525023134742251  mean stress:  6.68547202793894
